rhaD	rhaS	rhaB	rhaA	rhaR	rhaT	arcA	puuR	ydeA	puuD	rpsJ	rpmC	fadJ	fadE	fadR	fadI	fadD	fadA	fadB	fadL	tpx	betB	betI	betA	betT	fabB	icd	hybA	iraM	hybF	ssb	rplC	lldD	lldR	lldP	uvrA	fabA	fabR	rpsS	ybdN	appA	rpsC	rplV	ackA	rplW	hybB	rpsQ	yccB	appY	appB	appC	hyaB	hyaC	hyaE	iscR	hyaF	hyaA	hyaD	narP	napA	narL	napB	napF	napC	napG	napD	modE	napH	ccmH	ccmE	ccmC	ccmG	flhC	ccmB	ccmF	ccmA	flhD	ccmD	nrfF	nrfB	nrfD	nrfE	nrfA	nrfG	nrfC	mdh	glpA	glpB	glpC	hybE	ygbK	flgM	ppdB	flgC	flgF	flgB	gltI	hybC	fliO	fliR	fliJ	ppdA	ycgR	hdfR	recC	flhE	flgH	fliG	flgJ	flgN	fliL	fliT	fliQ	fliS	flhB	fliF	gltK	yhjH	gltL	flhA	fliP	ygdB	flgD	flgI	fliD	fliM	hybD	ppdC	flgA	flgG	fliK	flgE	fliH	fliN	hybG	fliE	hybO	gltJ	fliI	oppD	fdnH	ydhU	cydC	ydhY	oppA	fdnG	cydD	moeB	ydhX	oppB	ydhW	fnr	moeA	ydhT	yecR	fdnI	ydhV	fdhF	ytfE	hcr	hcp	ubiC	ubiA	focA	nuoI	nuoH	norV	nuoC	dmsA	nuoM	dmsC	nuoG	nuoF	nuoJ	nuoA	nuoL	nuoE	nuoB	dmsB	nuoK	nuoN	norW	rplP	rplD	dmsD	ynfH	rplB	dcuS	ynfF	narX	ynfE	dcuC	puuA	ynfG	pflB	fumB	frdA	dcuR	frdC	frdD
0.2250930	0.1347486	0.3448500	0.1376439	0.0491478	0.4749711	0.3028262	0.0966035	0.1067611	0.4623731	0.3618749	0.6423759	0.1321349	0.2262960	0.8262421	0.1934624	0.0002027	0.1634159	0.2818351	0.0708869	0.2991130	0.0015905	0.6417712	0.3699568	0.2099406	0.5006134	0.2752536	0.3574666	0.6558749	0.0457183	0.1319203	0.3775969	0.6067668	0.0546891	0.7798071	0.0482602	0.2186184	0.8606390	0.4218943	0.6588808	0.4513508	0.1172813	0.3463159	0.5379783	0.3477313	0.1849746	0.5338432	0.6299107	0.4869143	0.3414872	0.5973265	0.2610872	0.6346263	0.1309560	0.7334487	0.4852278	0.1123865	0.2917848	0.5237055	0.1897661	0.2810971	0.1707170	0.4412878	0.7183714	0.2601827	0.5388046	0.6979131	0.6535468	0.0033615	0.4603194	0.2783792	0.3858541	0.0979817	0.3301847	0.5774181	0.7260992	0.0160750	0.4993798	0.7639569	0.6506999	0.2034949	0.7493433	0.2413272	0.6858940	0.1535535	0.4373011	0.0381503	0.2732589	0.0566884	0.3077999	0.0433272	0.0888310	0.0027639	0.0000338	0.0282036	0.0200038	0.4031143	0.0461763	0.0003779	0.0007699	0.0001780	0.0102485	0.0175911	0.6899551	0.0486991	0.1107799	0.3455460	0.0000090	0.2764589	0.2215665	0.0120396	0.0002895	0.0645955	0.0000164	0.0003346	0.0004530	0.0020144	0.0009280	0.0050801	0.2749524	0.1884927	0.0246368	0.0000337	0.2016361	0.4959465	0.6988629	0.3230795	0.1194664	0.0750527	0.0012854	0.5021670	0.1794082	0.1895022	0.0717445	0.3387618	0.0000453	0.1301686	0.0000012	0.3170550	0.0905334	0.1636686	0.7354023	0.0407888	0.3269761	0.2403056	0.0985389	0.4457264	0.5748495	0.1675466	0.2066188	0.7113271	0.5636628	0.3136224	0.4880911	0.0000236	0.2799853	0.2287381	0.3665125	0.3360378	0.4872024	0.6591294	0.4238509	0.1602599	0.3266091	0.4751435	0.3794970	0.0116585	0.6674717	0.4492277	0.1091364	0.2480230	0.2666735	0.6433444	0.7156116	0.6240024	0.2938690	0.3405805	0.3865969	0.1139086	0.6072097	0.4964829	0.4673271	0.4334266	0.0709617	0.3510569	0.3585431	0.2252971	0.5365905	0.3630422	0.3658764	0.2489524	0.5313184	0.2049518	0.4888395	0.5027170	0.7381657	0.2440394	0.5873143	0.0192251	0.7586690
0.0011746	0.0000018	0.1564702	0.2118030	0.0000182	0.6118655	0.2734931	0.0898978	0.4354448	0.4407453	0.6639809	0.4723451	0.2298886	0.0576949	0.7068381	0.4434456	0.0000817	0.4895121	0.4233980	0.0802522	0.4054480	0.0960639	0.4991373	0.2384512	0.0666446	0.1446529	0.3930730	0.2589551	0.7417753	0.0266642	0.3098704	0.5929801	0.4477093	0.0009520	0.4730892	0.3437403	0.4909534	0.7800794	0.4542925	0.6142749	0.1080422	0.2130662	0.3684137	0.5236516	0.5889931	0.1965668	0.4685316	0.6918240	0.6084725	0.3121614	0.6179043	0.2130691	0.3417981	0.0846181	0.7149863	0.4868323	0.0565414	0.0126486	0.6488633	0.1404267	0.3419734	0.0271566	0.5447446	0.6316518	0.7420274	0.2886326	0.7043025	0.7294848	0.0616427	0.1936317	0.4350282	0.4657861	0.2026026	0.5340762	0.3883354	0.5493850	0.2066320	0.3596596	0.7166392	0.7227959	0.4704314	0.6699793	0.2695305	0.6567534	0.5706449	0.2669358	0.2282922	0.3105617	0.0427896	0.3517273	0.4136235	0.2016121	0.0261413	0.0342499	0.2980739	0.1184798	0.2983689	0.1128783	0.0791460	0.0021879	0.3256476	0.1383822	0.1215671	0.5347070	0.0061383	0.5522978	0.6497527	0.1017052	0.6110891	0.1261663	0.6607759	0.0636007	0.4851889	0.0002882	0.0075008	0.0117787	0.2347179	0.0631208	0.0317606	0.5109103	0.0998410	0.0496593	0.2624161	0.1190272	0.0425870	0.6344295	0.4051085	0.2622135	0.0486514	0.1420145	0.5816078	0.1865137	0.0161148	0.2313125	0.6002021	0.5737527	0.2351183	0.0008557	0.3747275	0.1597602	0.5203684	0.6477826	0.1746498	0.3751780	0.3833591	0.0320133	0.3223841	0.3198900	0.1221535	0.1691940	0.6466082	0.7323321	0.2130224	0.2642992	0.0958325	0.6871362	0.2520093	0.4577467	0.4603784	0.6657365	0.5199734	0.3619899	0.0404030	0.2061505	0.4292855	0.7483415	0.0063192	0.5027896	0.5849274	0.1406379	0.0951919	0.1119505	0.6479402	0.2903603	0.5702271	0.5528764	0.5262956	0.1301280	0.1744623	0.4457594	0.1207259	0.3783121	0.2696526	0.2947504	0.5063096	0.0480662	0.3962285	0.0907668	0.2162972	0.3269149	0.0880771	0.4840697	0.0565824	0.4210232	0.7160179	0.7187322	0.2352024	0.5065485	0.0160759	0.7040365
0.1819399	0.0000596	0.0000718	0.0170996	0.0006048	0.1214407	0.5779988	0.0372429	0.0245112	0.3259912	0.1331284	0.4354524	0.3393156	0.1637910	0.4593551	0.5908677	0.0414010	0.3542098	0.2069968	0.0091411	0.2841874	0.0007950	0.2220959	0.5504306	0.2979229	0.5520010	0.1666504	0.1319612	0.7825180	0.0208358	0.0278721	0.0148593	0.5522623	0.0002368	0.5682753	0.0919475	0.4278451	0.4678337	0.2022739	0.5581921	0.3352025	0.0253482	0.2780370	0.7386490	0.1636341	0.0145023	0.0861032	0.5993690	0.5639197	0.5802927	0.6759444	0.4584397	0.2777299	0.3176570	0.5396831	0.6707968	0.1474508	0.0065824	0.5256266	0.0423995	0.3498499	0.2449118	0.5405202	0.3956610	0.3524514	0.4214830	0.6476572	0.2593393	0.0540453	0.4468378	0.2565461	0.0922521	0.1922046	0.1699835	0.4596131	0.3735113	0.2299420	0.2538939	0.7651265	0.6849594	0.4541692	0.6806491	0.3337849	0.7203749	0.5073833	0.1265402	0.0089487	0.1736259	0.0036262	0.1524724	0.4759927	0.3694407	0.0067061	0.0576405	0.0460321	0.1655598	0.2053060	0.0097695	0.3142619	0.0024400	0.0753976	0.1026340	0.0961350	0.7025934	0.0776176	0.4387703	0.5324586	0.0114417	0.7616327	0.1408347	0.6553610	0.1149446	0.4185547	0.0004549	0.2382851	0.0402637	0.0648688	0.0457308	0.0535791	0.5735960	0.2059835	0.0075452	0.0537724	0.0557116	0.0263063	0.6756067	0.1632233	0.2480563	0.2902572	0.0104050	0.5578293	0.3379531	0.0035388	0.1045339	0.0478193	0.4238953	0.1777429	0.1039590	0.3007792	0.0397139	0.2410264	0.3863107	0.0127712	0.3388544	0.1991494	0.0571001	0.4335283	0.6879807	0.2422656	0.1055344	0.2453041	0.2915674	0.4963815	0.5377551	0.0899982	0.6222992	0.4870478	0.2581593	0.3022683	0.4070885	0.3205579	0.2538352	0.1964185	0.1582218	0.5672738	0.3127328	0.0100498	0.6895748	0.4427750	0.1334630	0.0927531	0.0812079	0.6071660	0.2397878	0.5519536	0.4103475	0.5060461	0.3768722	0.1842186	0.6214857	0.4902393	0.4644223	0.0195328	0.1763896	0.4093152	0.2798552	0.0108576	0.0801387	0.1099355	0.3920005	0.2713723	0.3923203	0.3029693	0.4688642	0.5992765	0.6005345	0.5004599	0.6893177	0.0081349	0.7654491
0.7166214	0.6635586	0.7747427	0.4328752	0.6780104	0.3972110	0.3091420	0.1576120	0.2782590	0.5982573	0.1521404	0.5820666	0.0993966	0.1573753	0.5526357	0.1466884	0.0008149	0.4124186	0.4676290	0.0376098	0.1729787	0.0733656	0.5474754	0.3910949	0.1547745	0.3497026	0.2591479	0.3932777	0.6501038	0.0504712	0.2991853	0.4309118	0.7739045	0.0262642	0.7554142	0.1650368	0.3314010	0.6851105	0.5194718	0.5121656	0.1529456	0.0935227	0.5021898	0.4979845	0.3118253	0.0972329	0.1386613	0.7131566	0.5800555	0.5465250	0.5725305	0.1029073	0.5847151	0.4640854	0.6789869	0.3889306	0.1376369	0.3756085	0.5634250	0.0967815	0.2889248	0.2993004	0.7522461	0.3271780	0.3191398	0.4324774	0.5571897	0.8136444	0.1529901	0.5896267	0.4159719	0.2948139	0.1523131	0.3587223	0.6720512	0.3612154	0.2160942	0.5884038	0.6496877	0.5336973	0.4341481	0.6619561	0.2059623	0.7514605	0.5243996	0.4509806	0.3206668	0.2813576	0.0567280	0.3548991	0.4030672	0.2050656	0.0640716	0.0066251	0.0057629	0.2599472	0.1160511	0.1288870	0.3491752	0.2543787	0.0250223	0.1196298	0.0459221	0.6651100	0.0316655	0.6109458	0.6146268	0.0269193	0.6467538	0.0426305	0.5124691	0.1339534	0.3494628	0.0029613	0.3049230	0.0033773	0.0050478	0.0714382	0.1413860	0.6645156	0.0452962	0.0027302	0.3228795	0.1172549	0.1465352	0.7236519	0.4599817	0.1593697	0.4025627	0.1375234	0.4858917	0.0010094	0.1523547	0.1441516	0.4268997	0.1812503	0.3256656	0.3063558	0.1644872	0.1374904	0.4248287	0.7553677	0.0484249	0.3165096	0.1632972	0.5465020	0.4484826	0.3526922	0.3255665	0.0999172	0.6320032	0.6608101	0.0392014	0.3004920	0.0773776	0.4722562	0.4118710	0.4427790	0.2937933	0.4592715	0.4299137	0.3765856	0.1950092	0.3215350	0.5884397	0.3704540	0.0153125	0.5726515	0.5115558	0.0348955	0.1725022	0.0097118	0.3276080	0.5571068	0.7674156	0.4391994	0.0165452	0.4251099	0.1444505	0.3012879	0.5356573	0.4774350	0.1837753	0.1573181	0.4343882	0.6218837	0.3021519	0.3231889	0.1898603	0.4576548	0.2818813	0.5583909	0.1460176	0.3229082	0.6720039	0.7960428	0.3565282	0.5959419	0.0608955	0.8050319
0.3285153	0.2167093	0.2231815	0.0926036	0.0420123	0.5112153	0.4609202	0.1002356	0.0481482	0.3872099	0.2162729	0.3306570	0.0151165	0.0937039	0.5837608	0.2871243	0.0020748	0.3692899	0.2547679	0.0787787	0.3699582	0.0004287	0.4503422	0.4321384	0.2443668	0.5638603	0.2331723	0.3151421	0.6459588	0.0191553	0.0944684	0.2513822	0.6337621	0.0447794	0.4030820	0.1060984	0.5443205	0.8030754	0.3096904	0.3116603	0.1789234	0.0514040	0.2112339	0.5254444	0.3018360	0.1728638	0.0715824	0.5741980	0.6077710	0.4423105	0.7825214	0.1757827	0.5046716	0.1163291	0.6020710	0.6748788	0.1714336	0.1964105	0.5512858	0.3594573	0.2238678	0.2582732	0.0467396	0.5287633	0.5544818	0.3903279	0.6629899	0.2379973	0.0619909	0.0788027	0.3764382	0.2325299	0.4725854	0.4086677	0.4362574	0.6016604	0.2025597	0.4596171	0.5325284	0.7431937	0.2317941	0.6211049	0.1137620	0.7429084	0.6925839	0.2454504	0.1473159	0.2502101	0.3053990	0.3712142	0.5839209	0.4157791	0.1173454	0.0690335	0.6060615	0.4325581	0.4916848	0.0160731	0.0456000	0.0857608	0.6149675	0.1809232	0.1487857	0.4418372	0.3430348	0.6889983	0.5717317	0.0795940	0.8304385	0.3412089	0.7993865	0.1757991	0.7177472	0.0076134	0.0382981	0.2648935	0.3766571	0.1546726	0.1109118	0.5235306	0.1348954	0.1256570	0.0566823	0.4134407	0.3732656	0.7251462	0.3130539	0.3656876	0.1120890	0.4857890	0.5133430	0.3669386	0.1257767	0.3260428	0.0969919	0.6920416	0.4023837	0.3881474	0.3730097	0.0454995	0.2889764	0.1987211	0.0087033	0.1034329	0.2499430	0.3206984	0.4850749	0.4849354	0.2237282	0.1338550	0.5044530	0.3573963	0.0907106	0.0971804	0.2132100	0.5684547	0.5481583	0.5055796	0.3266914	0.5076034	0.3652005	0.3589839	0.2643846	0.3031574	0.4584072	0.4500329	0.0575331	0.5174491	0.5402476	0.1017026	0.1566282	0.1080702	0.7070960	0.3609345	0.6201370	0.2705657	0.1284756	0.1653636	0.0945874	0.3273179	0.4832990	0.5078295	0.2769133	0.1759242	0.5610115	0.4661005	0.0456675	0.2754177	0.1813685	0.2608971	0.4549209	0.5015835	0.2222708	0.2190576	0.5439368	0.4124330	0.3546653	0.5595321	0.0239226	0.6329699
0.0000454	0.0000761	0.1741658	0.0002162	0.0235967	0.4817578	0.4708538	0.1502861	0.0183493	0.4188514	0.2452653	0.5528888	0.0477617	0.1095859	0.5827256	0.3133274	0.0520898	0.3194573	0.2039425	0.0855253	0.3559524	0.0030759	0.2763604	0.6038227	0.2996032	0.2864399	0.2115534	0.0726780	0.7138202	0.0007774	0.1564817	0.2345134	0.6743940	0.0337265	0.4918742	0.0764100	0.3462558	0.7856785	0.3040170	0.4746373	0.4081146	0.0461720	0.3070976	0.4104553	0.2399001	0.0220225	0.0451923	0.7100700	0.7229401	0.3946582	0.6603542	0.2952781	0.4966988	0.6234808	0.5492733	0.6494497	0.3110767	0.0002885	0.5152397	0.1158417	0.5348758	0.0227345	0.2234019	0.5928735	0.1177734	0.2200577	0.6932771	0.5993949	0.0019901	0.2550991	0.2558160	0.2051147	0.2187089	0.3675789	0.4120266	0.5638378	0.0302881	0.2614769	0.7045509	0.6137740	0.1942116	0.6664995	0.6296468	0.7317159	0.2536082	0.3116822	0.0226799	0.4090365	0.1602117	0.2090149	0.0644010	0.0922945	0.2198696	0.0874679	0.2124655	0.1551568	0.4962892	0.0133975	0.1455890	0.0859728	0.0773445	0.0543314	0.1589919	0.4238622	0.1896377	0.4160268	0.5904051	0.0623543	0.6943370	0.0108131	0.4507609	0.1114334	0.2433650	0.4565402	0.0780523	0.1876119	0.0259289	0.0211030	0.0203624	0.0279492	0.0074306	0.1459458	0.1173719	0.0359142	0.0138062	0.4996628	0.2452575	0.1916503	0.0629804	0.0099031	0.4244947	0.0559072	0.2246502	0.1197056	0.1562979	0.0888501	0.1105385	0.0005403	0.2912525	0.0640100	0.2734042	0.6266952	0.3921137	0.2434166	0.1716500	0.0830256	0.4875499	0.5749127	0.1622831	0.1191209	0.3625851	0.2949641	0.2675841	0.3348861	0.0197433	0.5057367	0.0950124	0.1701709	0.1789335	0.5824720	0.6718403	0.2907072	0.2298108	0.3208173	0.6817383	0.6925539	0.0367848	0.2804340	0.4980961	0.1309704	0.0390091	0.0830268	0.3960172	0.3010678	0.7002821	0.5485017	0.1009561	0.4324274	0.2185064	0.4955450	0.4863581	0.4801502	0.2450560	0.0179205	0.4578632	0.2762335	0.0037246	0.2498219	0.3913501	0.6269060	0.2894064	0.3434817	0.3199848	0.2776802	0.6341674	0.3895569	0.3693082	0.5246321	0.0028957	0.4861784
0.2435903	0.2292152	0.3367176	0.2367514	0.0352799	0.6103008	0.3145774	0.1478381	0.5397388	0.6124917	0.4574732	0.6400945	0.2221447	0.4180268	0.7457960	0.4377076	0.0336045	0.4104162	0.5309075	0.2273831	0.3625677	0.1315938	0.3481037	0.5097778	0.2734757	0.1662522	0.5271835	0.2139367	0.5543412	0.0125757	0.3176411	0.5068661	0.4794997	0.0273945	0.5463431	0.4401362	0.4850016	0.7688848	0.3712039	0.5391267	0.3081435	0.1824040	0.5507165	0.6143355	0.2309230	0.1380103	0.3770446	0.7368644	0.6442434	0.4987339	0.6301868	0.3209435	0.6798735	0.5205262	0.7415482	0.2051882	0.0939949	0.2357143	0.2591043	0.0958246	0.4834998	0.3546937	0.5039428	0.7510972	0.4406075	0.3028464	0.6146676	0.7106560	0.3714187	0.0431858	0.2656935	0.1150377	0.1113305	0.5518278	0.6265712	0.5478477	0.1878187	0.5239417	0.7596240	0.7390620	0.3604593	0.6196980	0.3048298	0.8325595	0.4386956	0.5111568	0.1714344	0.2645943	0.0374214	0.2240316	0.6702467	0.4412090	0.2905858	0.2516300	0.1844290	0.2158898	0.2043415	0.1322879	0.0298957	0.0014677	0.1002073	0.4271521	0.0530262	0.6310201	0.0003240	0.4123077	0.5148237	0.1916822	0.7346566	0.0817622	0.7555347	0.3059772	0.5277360	0.4734895	0.0030933	0.0013578	0.0257702	0.2061053	0.3066774	0.3952464	0.2432011	0.0698385	0.0699708	0.2608534	0.0249488	0.6857468	0.3758339	0.0963678	0.0230413	0.0663090	0.6775833	0.2408754	0.1685840	0.1033260	0.5112098	0.3776391	0.3410709	0.0695834	0.1891675	0.1232031	0.4890539	0.7190492	0.4691442	0.1581667	0.2946656	0.3836512	0.5617166	0.2180676	0.4803216	0.1981199	0.7770240	0.6726149	0.2260585	0.4149945	0.0242290	0.6478474	0.4732196	0.1372879	0.1628394	0.7410502	0.4787018	0.2549749	0.2579048	0.2200027	0.5871385	0.6342143	0.0439449	0.5943320	0.5269863	0.1403955	0.1369962	0.0014332	0.6584132	0.6735276	0.8278910	0.6070955	0.4112381	0.5036715	0.1926518	0.5101563	0.4787124	0.5103592	0.2878635	0.3167829	0.5053021	0.0391477	0.0718019	0.3694628	0.3249915	0.6174626	0.3531772	0.5887945	0.3140508	0.2673102	0.5911235	0.5121296	0.4122930	0.3084622	0.1941358	0.8380470
0.7323304	0.5517903	0.6975630	0.4013725	0.3967617	0.7269934	0.1713642	0.0792180	0.4750508	0.5511455	0.4928763	0.4264731	0.1998814	0.2883976	0.6173597	0.4645772	0.0171283	0.3478146	0.5807662	0.1340730	0.3519919	0.0580078	0.6347107	0.3586343	0.0154028	0.1499830	0.5335541	0.1575047	0.6373936	0.0514927	0.2726341	0.5753695	0.2307446	0.0575211	0.6686028	0.3110607	0.2305492	0.7036996	0.5112788	0.4757805	0.0571873	0.4252639	0.5983248	0.6552658	0.3524469	0.0664805	0.2693682	0.5631027	0.6982151	0.5829708	0.6604161	0.3701537	0.6191059	0.1930973	0.6054016	0.5821606	0.1522126	0.1112461	0.7046424	0.1353507	0.4662947	0.1271563	0.0807922	0.6073262	0.7610422	0.4270751	0.6035379	0.6121068	0.0018618	0.4165992	0.2724696	0.5170046	0.1755961	0.3135483	0.1663416	0.6428344	0.0997793	0.5119638	0.6555647	0.6787214	0.2726449	0.6864839	0.2494149	0.6027248	0.4850760	0.4319961	0.1112029	0.2793193	0.0009105	0.2241883	0.1481863	0.0329334	0.0290978	0.1576639	0.0581815	0.0239770	0.3601773	0.2022042	0.0381752	0.1127330	0.0461715	0.3594254	0.0288260	0.5988005	0.0005929	0.5224952	0.6132788	0.0503350	0.5896809	0.0104737	0.5189851	0.0301229	0.2816616	0.0006287	0.0046690	0.0003337	0.0559310	0.0535392	0.0156561	0.2290375	0.1753357	0.0175709	0.2930160	0.1119800	0.0275599	0.7962198	0.4469587	0.1246400	0.0005096	0.1385326	0.4730828	0.3989485	0.1308261	0.4214306	0.6376657	0.0880336	0.2303728	0.2277587	0.2825523	0.1069806	0.1325424	0.7538239	0.2077521	0.4173752	0.1803236	0.0431487	0.4444260	0.3853296	0.4543829	0.0964142	0.7444301	0.9192018	0.0464241	0.4446378	0.0108971	0.5683702	0.3293429	0.4382150	0.4745794	0.4712440	0.6514126	0.4115778	0.2437834	0.4731733	0.6202887	0.3716618	0.0053139	0.7341160	0.3721674	0.1688127	0.1071939	0.1114463	0.6386746	0.5637985	0.7354802	0.4410094	0.3079214	0.3382732	0.2451036	0.2926985	0.3670376	0.3466306	0.2359283	0.4097326	0.7985938	0.3624146	0.1074037	0.2502739	0.2718715	0.4498153	0.5489495	0.4015238	0.3659810	0.4713340	0.5173680	0.6574979	0.2610114	0.1072734	0.0007654	0.7387917
0.0157955	0.0001931	0.3239966	0.3138044	0.0003164	0.4408597	0.3595838	0.1168619	0.1143194	0.4827535	0.0825517	0.5291406	0.1218676	0.0742349	0.5641876	0.4115527	0.0479728	0.3394396	0.2771503	0.0947385	0.1614311	0.0041028	0.5992564	0.4275746	0.2097480	0.2832561	0.3186743	0.3311607	0.6405663	0.0020456	0.2341501	0.4529150	0.6017521	0.0012583	0.5467239	0.2581226	0.6373330	0.4003544	0.5450971	0.6421711	0.2615777	0.0348189	0.4691275	0.5558253	0.0595472	0.2747393	0.3173977	0.7017157	0.5933315	0.5989586	0.6718642	0.2644757	0.4206448	0.0800643	0.7420143	0.5628361	0.2666567	0.2654754	0.5139599	0.0903284	0.1466507	0.1404718	0.5027345	0.5706856	0.5930683	0.4575779	0.6598886	0.6378760	0.0544252	0.4105558	0.4397453	0.3046198	0.0938426	0.4065470	0.7154236	0.5151768	0.2112865	0.4068344	0.7506871	0.8307016	0.3698163	0.6091556	0.2517526	0.8089454	0.3252011	0.1487152	0.0990812	0.1739837	0.0083365	0.4671413	0.4490126	0.0578818	0.0006142	0.2399482	0.0192121	0.0485812	0.1806205	0.0374823	0.0466749	0.0021772	0.0403178	0.0657220	0.0647126	0.7110492	0.1107119	0.6339102	0.8349504	0.1467951	0.6816181	0.0548097	0.6164320	0.0529298	0.5529424	0.1103770	0.0024283	0.1631362	0.2850446	0.0345875	0.0171562	0.4402870	0.0910848	0.0477242	0.1711763	0.3123658	0.0080446	0.5937900	0.2860253	0.1083896	0.2011321	0.2682615	0.5875325	0.0802585	0.0570120	0.2887723	0.1593381	0.2331113	0.4829402	0.0591541	0.2248521	0.0653079	0.1342328	0.6508131	0.0070884	0.1722608	0.0753895	0.0848159	0.4628447	0.5291823	0.1927120	0.2473514	0.5660482	0.5425973	0.0877065	0.3448120	0.0145665	0.5233474	0.4535314	0.4452714	0.1989760	0.5192860	0.6030873	0.3454137	0.1743430	0.2753988	0.3564720	0.5998134	0.0436114	0.5155827	0.4943996	0.0246649	0.3003258	0.0877551	0.5610145	0.5974989	0.4552438	0.3873548	0.0933080	0.3284243	0.2473728	0.1987472	0.0638262	0.4014905	0.1028671	0.0528419	0.6396127	0.3083109	0.0357724	0.0886336	0.3797084	0.3743981	0.1957872	0.4682401	0.1019058	0.5472560	0.7384121	0.6248821	0.4644231	0.6723866	0.0789912	0.6264705
0.0093838	0.0998911	0.0318364	0.0324113	0.1491207	0.5018311	0.4445941	0.0029309	0.0573535	0.5055493	0.2494506	0.4946305	0.0742001	0.1819827	0.6536813	0.2940716	0.0032423	0.2589890	0.3576301	0.0747539	0.2520865	0.0052722	0.4490977	0.3334993	0.2826381	0.3074856	0.3369914	0.4095837	0.6311318	0.0940552	0.2309792	0.3732164	0.6410788	0.0230300	0.6737243	0.2660038	0.2148358	0.6846174	0.3028827	0.5187043	0.4089587	0.0583307	0.1355400	0.3976019	0.3070620	0.3674451	0.1161290	0.7926786	0.6679331	0.4745637	0.7296833	0.2172742	0.6175059	0.1536203	0.3200660	0.6568031	0.4774353	0.4191203	0.8857919	0.3549470	0.1512176	0.5166940	0.4965933	0.4235822	0.3981191	0.4965088	0.2725378	0.6036100	0.1845493	0.3862670	0.3445034	0.1893168	0.1141227	0.1936647	0.3450610	0.1834664	0.0707166	0.4031938	0.7689439	0.7322472	0.2696990	0.7130873	0.0880307	0.6405545	0.0264593	0.6575292	0.0004833	0.4565838	0.0000195	0.3987263	0.0049004	0.0021955	0.0002235	0.0722592	0.0040489	0.0058938	0.1654426	0.0591692	0.1082507	0.3689580	0.0569797	0.1873413	0.1319308	0.6189528	0.0008017	0.2131885	0.3161791	0.0317295	0.0023721	0.0541047	0.1777167	0.0015423	0.0149141	0.0004997	0.0004896	0.4176862	0.0021141	0.2438972	0.0018774	0.0042158	0.0055731	0.0005400	0.2202590	0.0382892	0.1885192	0.5321949	0.3757727	0.1676439	0.2625196	0.0026916	0.4098764	0.0000287	0.0773598	0.3757574	0.1792291	0.0521028	0.4738532	0.0003013	0.1915490	0.3661002	0.2573847	0.4814161	0.0142812	0.2115574	0.1986250	0.1592373	0.7946143	0.6026518	0.1760673	0.3052957	0.6281315	0.4840048	0.2653059	0.2679082	0.0516026	0.5310614	0.1249424	0.5970165	0.4252429	0.3801820	0.4219195	0.4353109	0.1658628	0.5267246	0.3203034	0.6853858	0.0214134	0.7086253	0.6707068	0.0336728	0.5749595	0.0157788	0.6337405	0.4116042	0.5139961	0.1284494	0.0983887	0.4052068	0.4860041	0.4032664	0.3463214	0.2016868	0.0935720	0.0159598	0.5901989	0.5117917	0.4242725	0.1919801	0.0635671	0.4612715	0.5369811	0.5504413	0.1656581	0.0509028	0.6548787	0.6610137	0.4238101	0.5271334	0.2093682	0.3611427
