nrfD	narP	ydhT	ydhX	ydhU	narL	ydhV	ydhW	ydhY	fdnG	fdnI	fdnH	hcr	ytfE	fdhF	hcp	yoaG	yeaR	nsrR	nrfC	nrfB	nrfA	nrfF	nrfE	nrfG	flhD	ccmE	ccmF	ccmH	flhC	ccmC	ccmB	ccmA	ccmD	modE	ccmG	napH	napF	napB	napC	napD	napG	napA	iscR	fnr	yecR	fliY	fliZ	fliA	norW	hyaA	hyaC	hyaD	norV	norR	dmsB	hyaB	appY	hyaE	hyaF	dmsA	dmsC	glpA	glpB	glpC	ppdB	fliR	gltL	flhA	flgG	fliN	fliQ	fliL	flgH	fliI	yhjH	fliK	hdfR	dcuS	ycgR	flgD	pheM	fliD	flgI	fliP	gltI	flgB	ppdC	gltJ	ygbK	flgC	fliO	dmsD	ygbA	ppdA	ynfG	ygdB	flgM	flgJ	flgE	flgN	fliG	fliH	flhB	flgF	fliF	flgA	fliE	fliJ	ynfE	fliT	ynfH	fliM	rplT	ynfF	gltK	narX	fliS	recC	flhE	nikB	nikR	nikE	nikD	nikA	nikC	frdA	aspA	moaB	moaA	lrhA	cydC	moaE	cueR	moaC	moaD	hydN	frdD	dcuR	frdC	frdB	dcuB	fumB	cydD	dcuA	qseB	moeB	moeA	nirD	nirC	cysG	nirB	mdh	hmp	hypF	glpR	adhE	hycD	narK	hypD	hycG	fhlA	hycB	hycE	hycA	hypC	hycI	hypB	hycH	hypE	hycC	hycF	hyfC	hyfE	hypA	hyfF	hyfR	focB	hyfD	hyfA	hyfG	hyfJ	hyfI	hyfH	hyfB	aceF	ubiA	aceE	ubiC	mglB	scpA	cueO	rybB	yqjI	rpsI	xdhA	rffE	rffD	ydeJ	tadA
0.0196471	0.5935095	0.3368773	0.4656287	0.0174776	0.4699117	0.5695997	0.5980300	0.5279316	0.3359177	0.6868580	0.2943397	0.4528746	0.6212493	0.5902700	0.6013519	0.6342000	0.0005443	0.6981579	0.1539512	0.8159535	0.3527417	0.4420745	0.3082434	0.5401236	0.1917860	0.7206338	0.1440793	0.2670726	0.6963736	0.4746337	0.7887322	0.5727253	0.6134495	0.6814373	0.5969697	0.5233989	0.2327778	0.3918615	0.4203892	0.6100066	0.0002933	0.5780824	0.5423897	0.7183816	0.6628753	0.5079870	0.0629072	0.1373491	0.2567314	0.4517327	0.6059029	0.0310413	0.1801451	0.3964093	0.4512169	0.3187412	0.6234312	0.2302034	0.3202276	0.1702355	0.7935328	0.2588459	0.2657270	0.6182777	0.6569161	0.5592613	0.6349266	0.4407936	0.5180480	0.5952954	0.0848224	0.4498807	0.5131981	0.4287843	0.1370122	0.5491923	0.5411119	0.0515960	0.5216465	0.5913855	0.2615555	0.1007427	0.4231120	0.6760254	0.0325797	0.0007052	0.5127200	0.5025064	0.4447949	0.0988299	0.4919343	0.3828362	0.0316720	0.3049235	0.6113395	0.4722887	0.3925930	0.7791157	0.6885967	0.6804413	0.3186352	0.2026502	0.2096601	0.3132511	0.4035836	0.5804175	0.6973397	0.4807067	0.5870951	0.4861016	0.3583322	0.2135860	0.0021874	0.5342073	0.5267921	0.4072117	0.4261448	0.6153028	0.2663651	0.2916153	0.4404379	0.0754364	0.2029651	0.4586221	0.3219481	0.2548665	0.1948681	0.4484326	0.3080172	0.6819755	0.5489372	0.2997237	0.6440741	0.1754481	0.5485888	0.1679661	0.4402125	0.5276752	0.4670021	0.5146430	0.4764466	0.3129660	0.7051213	0.2377218	0.7098805	0.4264565	0.2999251	0.5619203	0.2944884	0.6087662	0.7740958	0.4121242	0.2661970	0.4917407	0.6083704	0.1441939	0.5100169	0.7662033	0.4629917	0.3863702	0.3058549	0.3290544	0.0772908	0.5951281	0.5713314	0.0008044	0.5836997	0.1415660	0.3729298	0.0187470	0.6565657	0.1812327	0.3073717	0.2738627	0.4198146	0.3735584	0.1839612	0.0853878	0.3471133	0.0315336	0.3191404	0.1567373	0.2346860	0.3688307	0.2708424	0.0183716	0.4232805	0.0019358	0.0042815	0.6103067	0.4538835	0.2233819	0.4133764	0.2069027	0.6361525	0.2117887	0.3268215	0.6068141	0.1411012
0.3708465	0.5734770	0.2110888	0.3582747	0.2485703	0.6386003	0.4690997	0.6586842	0.4339193	0.1343995	0.3054900	0.4049894	0.4044006	0.4369167	0.6070517	0.4489764	0.4521774	0.1063582	0.6356210	0.0026148	0.6135774	0.3603476	0.0056502	0.1936231	0.3695249	0.0066822	0.6291001	0.0051975	0.1540481	0.6138148	0.3464089	0.4437415	0.4487675	0.2886698	0.4777995	0.1047402	0.5862477	0.3022265	0.4647492	0.0487056	0.2591659	0.1579367	0.5335141	0.6799832	0.5732866	0.5552781	0.3022677	0.1263241	0.4304257	0.2872392	0.1268533	0.5546332	0.0051623	0.3094917	0.3168268	0.2003954	0.5261674	0.4483226	0.4522938	0.0563813	0.1823263	0.6338755	0.0000682	0.5070236	0.2903080	0.0001398	0.2100281	0.4790755	0.3587658	0.0011642	0.7078330	0.0000706	0.1621519	0.3017239	0.3689368	0.1696073	0.5412742	0.6174618	0.1002825	0.0065075	0.5944435	0.3921683	0.0708117	0.4529721	0.0089246	0.1308852	0.0145563	0.3099248	0.5716867	0.3008397	0.2867931	0.0109126	0.2519390	0.0263361	0.5994546	0.5777052	0.3937280	0.0019745	0.4027647	0.4939095	0.3424868	0.1572606	0.1953739	0.2318144	0.3245030	0.2812148	0.2709601	0.2754461	0.6264490	0.4662030	0.5355290	0.2389121	0.0707326	0.0017971	0.3475783	0.0001192	0.3872125	0.3849898	0.2788088	0.2383694	0.3593083	0.1469145	0.1614859	0.0666844	0.3760878	0.4396382	0.2402719	0.2815520	0.4304587	0.3598170	0.6322684	0.6176945	0.1326247	0.6194226	0.1966605	0.4482433	0.2307887	0.3829873	0.4171698	0.3655805	0.6509558	0.3420222	0.1139369	0.7201250	0.0588981	0.6575931	0.6500928	0.3001655	0.7462650	0.3216521	0.6975706	0.7671814	0.5294304	0.2085786	0.5709112	0.6015402	0.0004100	0.3403964	0.5730252	0.3683310	0.1394751	0.3000795	0.3886469	0.0897578	0.3815756	0.2448184	0.1226702	0.7050982	0.1107881	0.4573275	0.0268583	0.6462578	0.2462652	0.0976431	0.1262326	0.0187942	0.1117282	0.1947813	0.3534737	0.1723449	0.2474980	0.4111718	0.0009098	0.2245199	0.5450182	0.6855289	0.0139975	0.3349680	0.0004298	0.1713888	0.6481693	0.4758076	0.3998746	0.4011306	0.2386768	0.5790911	0.3193713	0.2451418	0.5092572	0.2696748
0.0522810	0.6971356	0.2571990	0.3089483	0.0369122	0.2211026	0.6569568	0.6222387	0.3533630	0.2120856	0.0349414	0.1016675	0.4492680	0.3148303	0.7324724	0.5307517	0.6594804	0.1945727	0.4276027	0.1553044	0.2774673	0.5367018	0.0868781	0.4366903	0.6379691	0.0071001	0.6546894	0.0456201	0.0522998	0.6865350	0.3774589	0.7772327	0.5246115	0.3800020	0.8194904	0.3565824	0.5733296	0.2984538	0.0317051	0.1655711	0.4766394	0.3646351	0.6921905	0.6473205	0.6759398	0.6691385	0.4267983	0.0726389	0.0690965	0.3876069	0.4662329	0.7580206	0.0194895	0.2535160	0.3491385	0.5471594	0.4964679	0.5355211	0.2938517	0.1515844	0.2648435	0.6562126	0.0004903	0.2862507	0.4193002	0.2481300	0.2452644	0.4203614	0.4704694	0.0095048	0.6385795	0.0000529	0.0124077	0.5923869	0.6666494	0.0153688	0.6245871	0.5297839	0.1817843	0.0004277	0.6670969	0.3024426	0.0037943	0.4931765	0.0963007	0.0001081	0.0004641	0.4335162	0.3854095	0.3510047	0.0053417	0.2494277	0.6039805	0.0523536	0.2797965	0.6630458	0.2628394	0.0090870	0.5013297	0.3059405	0.3840259	0.1550399	0.3906653	0.3387938	0.2377866	0.2128474	0.3095860	0.4199131	0.2130128	0.4875022	0.6158199	0.2619816	0.3185550	0.0257357	0.2638565	0.0024255	0.5977522	0.3895980	0.0000263	0.2594975	0.3606092	0.7030177	0.0103304	0.2437833	0.5622793	0.4876346	0.2587282	0.2732107	0.4335361	0.3547866	0.6872915	0.4461100	0.0267391	0.5406508	0.2620985	0.4050312	0.2275134	0.5251437	0.6853929	0.6221380	0.3916409	0.6738976	0.5165429	0.5195935	0.1989713	0.6412206	0.2715557	0.2244392	0.6861444	0.0769305	0.6560240	0.6138371	0.5351011	0.2779774	0.5470210	0.4650566	0.2654222	0.4145924	0.6623341	0.4922295	0.3995056	0.3713605	0.5463817	0.1589311	0.6411694	0.2160907	0.0000102	0.4660789	0.1040396	0.3265063	0.0494828	0.6660366	0.2928815	0.2429276	0.1770596	0.2813480	0.3501154	0.2585696	0.1021282	0.2846070	0.2162594	0.6473426	0.0394837	0.4999716	0.0912230	0.3096603	0.0208194	0.3784113	0.0012239	0.1856913	0.5645611	0.5913811	0.4740204	0.3631003	0.1859151	0.7016056	0.1729272	0.5501644	0.6658716	0.2067828
0.0392570	0.7978648	0.0572837	0.3895226	0.0144082	0.6099395	0.5676679	0.5472437	0.5354849	0.2006013	0.6708912	0.3701177	0.2028163	0.5330643	0.6529003	0.4567611	0.3354581	0.0000277	0.6644598	0.1490737	0.6293402	0.8556357	0.0023890	0.0044578	0.5830895	0.0040310	0.6570917	0.0937478	0.0000275	0.6888482	0.3526019	0.7050552	0.7180056	0.1827820	0.6724470	0.0287496	0.6294183	0.5530990	0.2340399	0.1186905	0.4841499	0.0563654	0.6324587	0.7961456	0.7726048	0.6798299	0.2547641	0.2918193	0.0176536	0.0647297	0.1157643	0.7664597	0.3716975	0.2612238	0.2581883	0.2116981	0.6417924	0.6499530	0.1298290	0.5573721	0.1396589	0.6350764	0.2673538	0.2009818	0.1077226	0.0774166	0.2349235	0.8420553	0.5390310	0.0623386	0.7909487	0.1410284	0.0000001	0.4264790	0.4431856	0.1135070	0.4065865	0.6621740	0.0002563	0.0013629	0.6231205	0.4406823	0.0005654	0.6626691	0.0656753	0.0469948	0.1057199	0.2799522	0.2897796	0.2803730	0.0025791	0.1501366	0.6341793	0.0008642	0.3011069	0.4124252	0.2256869	0.0018605	0.4795078	0.2818482	0.3541637	0.2042269	0.2896075	0.1517406	0.3111687	0.0768720	0.3563539	0.5805987	0.1990800	0.4371736	0.4181073	0.0135246	0.3511042	0.0017437	0.6680792	0.0000539	0.5287010	0.5373516	0.1171376	0.3401331	0.2893199	0.4763198	0.0962748	0.2596442	0.3110842	0.2190769	0.0000727	0.4836652	0.6186837	0.4588659	0.6869266	0.5397483	0.2451149	0.7663332	0.0213927	0.3478269	0.2586847	0.4819024	0.4269897	0.2576712	0.1061274	0.3120129	0.1530050	0.5525095	0.0018201	0.7796805	0.5625813	0.4350149	0.6760382	0.4149648	0.5869239	0.7747549	0.3893204	0.2383048	0.4606648	0.7227897	0.0573629	0.7335167	0.5701530	0.4271763	0.2415198	0.2093295	0.3066322	0.1711485	0.4999709	0.0160984	0.0050608	0.6131642	0.0953442	0.0404923	0.0233152	0.4062644	0.0852749	0.1934837	0.3099032	0.0149470	0.0777625	0.0591134	0.0267684	0.0769136	0.0042731	0.7440845	0.0418619	0.1674974	0.1295415	0.5199652	0.0129650	0.2579380	0.0131058	0.0820935	0.5425166	0.4973507	0.2970881	0.5875022	0.1995217	0.5134866	0.1303254	0.2101135	0.6072164	0.3293709
0.0332282	0.6873322	0.3250404	0.4516362	0.0029993	0.4883141	0.5555936	0.6137820	0.1596838	0.4696672	0.4547754	0.3909286	0.4570030	0.4977728	0.5781293	0.5108494	0.6439909	0.0796174	0.6911497	0.0008786	0.3025245	0.4794678	0.4507443	0.2734969	0.7309537	0.0916194	0.7205727	0.0651450	0.1010588	0.6915798	0.4826388	0.3753493	0.4764279	0.7164705	0.7200133	0.3993542	0.7181285	0.2957211	0.3044400	0.1618426	0.6805635	0.1255571	0.6512014	0.6687134	0.7785291	0.6480594	0.3844194	0.0245304	0.2899621	0.0946374	0.4947341	0.5926516	0.0097266	0.2749221	0.2465156	0.1617036	0.3285948	0.7047474	0.2576083	0.3828418	0.0099165	0.5559925	0.6071809	0.4379647	0.3356951	0.6814472	0.5370826	0.5551223	0.4274779	0.1431896	0.6632388	0.0071018	0.1043300	0.3052262	0.5615197	0.0050344	0.5334806	0.7600079	0.0736656	0.4810014	0.7232532	0.2975681	0.0471675	0.5814406	0.5064578	0.0676548	0.0502156	0.4011836	0.3755833	0.4069607	0.3217858	0.6231760	0.3781501	0.0017153	0.3378711	0.7313111	0.2955986	0.2734099	0.6418731	0.5482839	0.5333823	0.1989309	0.4726823	0.4037190	0.2558542	0.2184363	0.3239423	0.5557887	0.4881233	0.4596585	0.6475105	0.0973234	0.3838698	0.0545419	0.5178998	0.1403298	0.6287353	0.4138193	0.3494094	0.2611094	0.1819146	0.4535713	0.0003646	0.2027141	0.2475801	0.3970058	0.0001724	0.2458227	0.3244030	0.2669407	0.7513048	0.6218475	0.4694248	0.7395011	0.0486447	0.5612517	0.3461294	0.4991431	0.4545737	0.2951304	0.4601474	0.4839535	0.2680822	0.6768569	0.1386324	0.7159217	0.4677401	0.2651949	0.7478784	0.4770700	0.7145950	0.7348800	0.4435857	0.3163802	0.6595293	0.7356271	0.4699118	0.4349532	0.5408649	0.2517023	0.1665053	0.1736865	0.6373125	0.1617449	0.4854737	0.1235130	0.0002270	0.6147853	0.1147149	0.4428104	0.3867478	0.4710159	0.4107644	0.2973615	0.1453183	0.1087810	0.0928949	0.2391104	0.0674702	0.2840202	0.0146643	0.5148822	0.0048821	0.0695605	0.5389250	0.4844648	0.0077585	0.4559120	0.0240269	0.1411091	0.6032115	0.3929525	0.4760984	0.3910713	0.1703900	0.6484045	0.2480206	0.0951809	0.5918805	0.2844500
0.2645829	0.6916025	0.1677242	0.2477612	0.0245099	0.3985998	0.6743383	0.4244143	0.3645018	0.1518540	0.4119429	0.5227065	0.6898716	0.2385904	0.6570401	0.5451788	0.4776711	0.0008092	0.7180685	0.4846813	0.6325276	0.5858587	0.5265240	0.4556924	0.7431577	0.3153551	0.6257264	0.1465068	0.1115564	0.5421202	0.2631991	0.6261070	0.6373085	0.6080235	0.4026890	0.6069532	0.4750129	0.3151974	0.1373215	0.2399790	0.5467764	0.1542885	0.6741821	0.5591298	0.7920739	0.6887909	0.2553681	0.2826021	0.2126167	0.1734384	0.2053119	0.6824752	0.0303957	0.2129820	0.3091142	0.4694542	0.2872688	0.7415245	0.4063793	0.2997839	0.1505552	0.7380987	0.1835172	0.2291370	0.4089191	0.7627651	0.5208819	0.6180842	0.6893310	0.2219506	0.6457429	0.3840643	0.7185988	0.3997016	0.4289044	0.1464169	0.6827259	0.6858437	0.0950869	0.5051650	0.5682693	0.3100180	0.3489550	0.6058017	0.5309942	0.2569633	0.2703700	0.5486520	0.4501611	0.4868043	0.2586165	0.6283917	0.3414351	0.0028428	0.3041317	0.6189589	0.4269553	0.4090473	0.7115128	0.7342336	0.5806955	0.2480602	0.3577671	0.4710443	0.4161538	0.3483333	0.4531258	0.5783201	0.6058275	0.6529685	0.3878372	0.3044597	0.3648966	0.0640520	0.3749441	0.5663372	0.2506953	0.3851828	0.7334318	0.2794340	0.2212923	0.2252562	0.1244029	0.0684410	0.5334579	0.3160337	0.0000039	0.3403877	0.3197554	0.6270807	0.5325356	0.5618884	0.2660336	0.1344205	0.3995135	0.3641979	0.1771888	0.4532823	0.5571664	0.4418098	0.2072577	0.3703462	0.2928893	0.6106910	0.0874013	0.5604978	0.5372925	0.2552152	0.6435060	0.3567334	0.6111185	0.5687174	0.2459884	0.3202110	0.5122785	0.7403889	0.2827170	0.2410508	0.6202488	0.5590971	0.1489402	0.2355431	0.3640049	0.0406212	0.4641584	0.2406501	0.1637778	0.6271715	0.0767546	0.1100458	0.0086670	0.4224805	0.3443947	0.3232201	0.1462120	0.0326272	0.1205366	0.1751923	0.1752372	0.3362898	0.1614121	0.8209906	0.0371195	0.2677998	0.4181008	0.3773986	0.0312495	0.4524540	0.0078444	0.1611919	0.6529466	0.3229604	0.2970084	0.4819406	0.2053787	0.6590830	0.2460715	0.2490925	0.5945674	0.3341252
0.0231546	0.8078230	0.2102685	0.4682103	0.0006647	0.5594002	0.6817293	0.6337184	0.2691619	0.1947025	0.2547452	0.2682633	0.4333938	0.1859423	0.7035341	0.4544733	0.7869076	0.0000117	0.7604270	0.1705191	0.6069549	0.6822618	0.0001419	0.4223124	0.6908857	0.0004127	0.6182929	0.1473878	0.1773123	0.6884183	0.5573549	0.7398919	0.5942853	0.4987896	0.6067415	0.0239123	0.4415401	0.3396722	0.2460529	0.2417648	0.2804237	0.0009530	0.5678467	0.6620239	0.5726628	0.6324891	0.1906584	0.0001075	0.0222310	0.0971972	0.3537385	0.2303439	0.0013991	0.2890902	0.3014857	0.3594907	0.6400594	0.7831413	0.2578207	0.3141232	0.0619609	0.6793197	0.2637444	0.4922532	0.1902190	0.1565511	0.2107167	0.6480210	0.4666288	0.2466457	0.6395321	0.0000082	0.0423446	0.3229106	0.3763209	0.0000268	0.3964540	0.6915504	0.2351320	0.1782637	0.6518741	0.1600455	0.1532561	0.4639441	0.0480801	0.2315788	0.1859009	0.6103103	0.4672144	0.8786278	0.0444626	0.0206620	0.3839684	0.0261755	0.4024060	0.7103433	0.2146160	0.0026733	0.3941277	0.3613669	0.3868259	0.2361127	0.2505054	0.3572614	0.3703276	0.4645334	0.2254013	0.2671902	0.2179648	0.5425921	0.5521328	0.1504941	0.0460429	0.0579583	0.3036666	0.0000480	0.5951071	0.4979478	0.0001792	0.2975087	0.2620757	0.5954008	0.1302983	0.1786480	0.3935942	0.3361334	0.0000337	0.2400455	0.1991993	0.3170659	0.6817388	0.5625755	0.0343966	0.6364208	0.0229687	0.2362297	0.3003913	0.3259419	0.5030071	0.3725667	0.4335927	0.5087857	0.2332850	0.7129118	0.1585820	0.7109403	0.4729671	0.3942348	0.6206476	0.2564847	0.6877176	0.6818362	0.4040456	0.1872862	0.4664650	0.5799142	0.1018591	0.4134356	0.6685434	0.3508793	0.1858596	0.3746048	0.3247000	0.4337461	0.6399499	0.2424213	0.0004935	0.5614358	0.2698920	0.2390684	0.1986320	0.4351586	0.2484302	0.5889959	0.1429974	0.2246154	0.4778526	0.4340232	0.4106088	0.4978578	0.0343316	0.5790874	0.3065022	0.3808785	0.5613005	0.7410166	0.0083955	0.4301992	0.0106585	0.1440055	0.7928817	0.4260867	0.2500929	0.4349248	0.1922989	0.6696188	0.2192590	0.2236820	0.6479568	0.1244324
0.2311325	0.6127856	0.2119136	0.4379620	0.0080344	0.4098446	0.7063312	0.5213642	0.5119652	0.2818783	0.5520366	0.3245479	0.4413203	0.3452412	0.3735174	0.6432717	0.4669962	0.0779239	0.6983373	0.1310415	0.7731471	0.6891507	0.0002266	0.3773157	0.5859108	0.0153133	0.6500582	0.0694892	0.2002577	0.5976479	0.2564578	0.6106625	0.5515536	0.3828352	0.6517190	0.0552795	0.3261862	0.2720355	0.0382101	0.3185465	0.2320791	0.0650925	0.5951978	0.7055416	0.4886143	0.6554664	0.4134539	0.0098779	0.3504872	0.2500932	0.4906246	0.5145749	0.0000614	0.3710064	0.4388190	0.2051792	0.7245794	0.7530904	0.2658934	0.2879947	0.1850137	0.6076066	0.1418820	0.2622861	0.2287932	0.0116111	0.5566512	0.6083841	0.7238349	0.2710892	0.7410784	0.2391977	0.0182036	0.3858735	0.3949452	0.1224811	0.5435696	0.6215083	0.4103517	0.6012228	0.6732970	0.2693974	0.1766377	0.3895390	0.3162810	0.0004231	0.0022741	0.4381030	0.5425377	0.4624943	0.0342170	0.2388871	0.4075284	0.0480242	0.4621340	0.6560260	0.3130315	0.1839839	0.4134983	0.3367215	0.3364093	0.3619699	0.2795946	0.3804283	0.2836704	0.2401266	0.4929055	0.3271687	0.2564820	0.4536520	0.5742679	0.3140646	0.0045363	0.0647230	0.4227611	0.0016783	0.5753757	0.4261396	0.0010750	0.2902018	0.3437527	0.4478187	0.1463557	0.1540822	0.4635779	0.3001477	0.1278909	0.5570045	0.4047953	0.2845040	0.7105322	0.5859016	0.0517988	0.6787381	0.0404554	0.1031033	0.0908535	0.4762151	0.4667725	0.4171024	0.3207920	0.5857510	0.2437601	0.4730613	0.0157287	0.5686958	0.5354216	0.4400972	0.5155145	0.3923313	0.6617150	0.6521706	0.5452963	0.2665313	0.4579740	0.7193469	0.0744919	0.2973130	0.5705963	0.4036274	0.1035578	0.1833856	0.3071663	0.0356020	0.4854270	0.1479115	0.0325140	0.4955460	0.0108933	0.2229247	0.0157733	0.5358280	0.3185516	0.2826218	0.0949854	0.2269757	0.2781037	0.0928294	0.1896373	0.2320562	0.2539468	0.2083212	0.0187604	0.2958791	0.2605848	0.6062427	0.0051748	0.2970088	0.0028120	0.1317967	0.6292652	0.4725284	0.2029165	0.5120853	0.1731269	0.6437368	0.1853344	0.2386460	0.6727480	0.3220201
0.3484602	0.6554224	0.4879645	0.2332929	0.2035918	0.5236533	0.5090309	0.6212704	0.2239713	0.2626772	0.4456745	0.3036838	0.4903503	0.2218435	0.2856125	0.4909437	0.5751378	0.0001867	0.4534732	0.3118967	0.6439812	0.5050465	0.4809716	0.2799313	0.7377591	0.1445894	0.5395441	0.2725194	0.1597132	0.6772944	0.7209699	0.6363806	0.5760381	0.5877419	0.6809496	0.5206946	0.2640242	0.3423583	0.3019696	0.0479996	0.5282649	0.0297262	0.4461331	0.6683790	0.5370606	0.6715662	0.4372910	0.0483518	0.1282500	0.1457494	0.3608367	0.7209699	0.0076158	0.2238827	0.3179202	0.6390592	0.7033894	0.6190753	0.3255924	0.1623423	0.0988499	0.6772998	0.1583518	0.3716107	0.1797601	0.5966224	0.4696991	0.6988633	0.6790082	0.1843114	0.5653230	0.1927055	0.6447338	0.4533217	0.4115449	0.0489781	0.5529293	0.6332580	0.1719141	0.5749205	0.6081311	0.2435068	0.1164296	0.6027281	0.5975225	0.0713612	0.0968607	0.6159789	0.4836267	0.3559848	0.1092868	0.5547205	0.3832898	0.0474059	0.2976734	0.5494081	0.3111967	0.2004850	0.7273545	0.6247693	0.4671385	0.3840114	0.3255381	0.3066950	0.4613626	0.3051642	0.6481447	0.3503139	0.5952685	0.3828379	0.4757748	0.1812037	0.2711460	0.0002336	0.5740276	0.3769664	0.5942549	0.5171095	0.5736392	0.3310735	0.3963971	0.7404404	0.1425529	0.1659842	0.4858246	0.3573938	0.0000126	0.3532253	0.1884480	0.2257178	0.5028982	0.6929603	0.1424488	0.7595460	0.0529486	0.5640435	0.1568534	0.4910706	0.6189000	0.5974875	0.6298930	0.3661555	0.3087240	0.4777193	0.2254903	0.5744695	0.5655581	0.4806849	0.6791337	0.1703306	0.7122450	0.7472901	0.4209461	0.2801648	0.5734619	0.7688768	0.2096593	0.3535942	0.6001664	0.2439496	0.4020070	0.4117311	0.6012336	0.0345977	0.3811117	0.4413241	0.3330814	0.6372494	0.3597116	0.5099874	0.0820792	0.7694890	0.4836211	0.2604853	0.1950438	0.2662507	0.2462808	0.1303140	0.1780698	0.5898126	0.1095742	0.4099936	0.0725995	0.3799339	0.4216511	0.3283850	0.0213168	0.3396866	0.0025999	0.0862560	0.5032503	0.4838125	0.5614847	0.3490046	0.0960613	0.4832015	0.3069216	0.3728061	0.5594037	0.2458427
0.2028931	0.7947314	0.2136893	0.6799394	0.0067876	0.4550206	0.6371498	0.4412302	0.6568519	0.1794169	0.5286468	0.2489110	0.4108282	0.6579247	0.5428155	0.5526369	0.2297370	0.4314293	0.5572805	0.1411526	0.7434165	0.3516588	0.5408989	0.4599733	0.6535977	0.4039694	0.6944376	0.4804870	0.4255802	0.4926261	0.3307169	0.5324631	0.6419428	0.4858953	0.7007757	0.3276694	0.7101569	0.4604894	0.0569456	0.0556697	0.2224101	0.0025239	0.4024292	0.7874929	0.6821254	0.7009154	0.6828321	0.1139912	0.2217468	0.2137897	0.2776483	0.5048483	0.0241750	0.2441630	0.3513592	0.4248572	0.6870188	0.7061004	0.3425635	0.4695142	0.2036894	0.7257004	0.3279714	0.0830128	0.4260447	0.7764784	0.5236039	0.5249542	0.5704559	0.3139883	0.5436337	0.5386858	0.8493827	0.5648341	0.3667676	0.4394377	0.7297648	0.5005614	0.4128635	0.5170137	0.5872565	0.1060736	0.3790820	0.6773780	0.4946948	0.0710590	0.0547156	0.6542342	0.4494899	0.4648719	0.1721514	0.5946076	0.2673491	0.0437440	0.4701721	0.3677917	0.5410066	0.2439171	0.5675759	0.5942149	0.5464366	0.6307316	0.4409218	0.1814284	0.4141494	0.5710910	0.7687409	0.4514704	0.5011472	0.4265153	0.5335790	0.1649828	0.4764831	0.0004797	0.4679855	0.5509171	0.5090738	0.6003559	0.6854199	0.4624442	0.3987983	0.4660086	0.1567015	0.4248984	0.5463965	0.2155744	0.0355030	0.2134497	0.3682238	0.2840922	0.4421419	0.6665630	0.2964322	0.7073436	0.2068024	0.2717992	0.3772895	0.4046225	0.6409919	0.3760407	0.4305612	0.5006569	0.3148580	0.4743256	0.0034958	0.7135496	0.5110776	0.2846003	0.7572284	0.2655832	0.7706015	0.6977850	0.1583586	0.2380998	0.5849138	0.4309277	0.5504270	0.5297046	0.6616199	0.2179950	0.2147422	0.3346508	0.5168024	0.1775817	0.4462167	0.3088506	0.0000032	0.7594375	0.1712830	0.2760895	0.2518859	0.7024129	0.3160789	0.1519171	0.3202654	0.2262483	0.2226003	0.2396929	0.5139452	0.3001549	0.1311963	0.5359145	0.0255702	0.2076266	0.4199397	0.5481793	0.0000943	0.4054868	0.0033530	0.1057083	0.6319057	0.4905601	0.4086356	0.6822250	0.1850808	0.6352914	0.2679554	0.2766707	0.4981238	0.3743876
